"fu-30d","I understand that you want to think about it. I'll follow up with you in 30 days. Is that okay?"
"fu-30d-y","Great! I'll check back with you in 30 days. If you have any questions in the meantime, feel free to reach out."
"fu-30d-n","I understand. If you change your mind, please feel free to reach out to me."
